Cod_setor,V009
355030801000001,4
355030801000002,2
355030801000003,2
355030801000004,0
355030801000005,1
355030801000006,1
355030801000007,0
355030801000008,0
355030801000009,1
355030801000010,0
355030801000011,2
355030801000012,0
355030801000013,1
355030801000014,0
355030801000015,0
355030801000016,0
355030801000017,0
355030801000018,1
355030801000019,0
355030801000020,3
355030801000021,1
355030801000022,0
355030801000023,1
355030801000024,0
355030801000025,0
355030801000026,1
355030801000027,1
355030801000028,1
355030801000029,0
355030801000030,1
355030801000031,1
355030801000032,3
355030801000033,0
355030801000034,1
355030801000035,3
355030801000036,0
355030801000037,0
355030801000038,0
355030801000039,0
355030801000040,2
355030801000041,1
355030801000042,1
355030801000043,0
355030801000044,2
355030801000045,2
355030801000046,1
355030801000047,0
355030801000048,2
355030801000049,0
355030801000050,2
355030801000051,3
355030801000052,2
355030801000053,2
355030801000054,0
355030801000055,5
355030801000056,3
355030801000057,3
355030801000058,2
355030801000059,2
355030801000060,0
355030801000061,1
355030801000062,9
355030801000063,2
355030801000064,0
355030801000065,1
355030801000066,2
355030801000067,2
355030801000068,3
355030801000069,2
355030801000070,3
355030801000071,4
355030801000072,2
355030801000073,0
355030801000074,0
355030801000075,0
355030801000076,2
355030801000077,0
355030801000078,3
355030801000079,2
355030801000080,2
355030801000081,2
355030801000082,3
355030801000083,0
355030801000084,1
355030801000085,0
355030801000086,1
355030801000087,0
355030801000088,3
355030801000089,0
355030801000090,0
355030801000091,0
355030801000092,1
355030801000093,1
355030801000094,3
355030801000095,0
355030801000096,0
355030801000097,0
355030801000098,1
355030801000099,1
355030801000100,0
355030801000101,1
355030801000102,3
355030801000103,0
355030801000104,1
355030801000105,0
355030801000106,3
355030801000107,1
355030801000108,2
355030801000109,1
355030801000110,3
355030801000111,0
355030801000112,0
355030801000113,0
355030801000114,0
355030801000115,3
355030801000116,2
355030801000117,4
355030801000118,5
355030801000119,6
355030801000120,4
355030801000121,1
355030801000122,1
355030801000123,0
355030801000124,0
355030801000125,1
355030801000126,3
355030801000127,2
355030801000128,0
355030801000129,1
355030801000130,3
355030802000001,1
355030802000002,2
355030802000003,1
355030802000004,0
355030802000005,9
355030802000006,1
355030802000007,2
355030802000008,5
355030802000009,3
355030802000010,0
355030802000011,2
355030802000012,0
355030802000013,5
355030802000014,0
355030802000015,2
355030802000016,4
355030802000017,6
355030802000018,2
355030802000019,4
355030802000020,3
355030802000021,2
355030802000022,1
355030802000023,3
355030802000024,0
355030802000025,1
355030802000026,1
355030802000027,4
355030802000028,2
355030802000029,6
355030802000030,0
355030802000031,6
355030802000033,2
355030802000034,2
355030802000035,2
355030802000036,10
355030802000037,0
355030802000038,4
355030802000039,0
355030802000040,1
355030802000041,0
355030802000042,11
