"","Cod_setor","domicilio"
"1",355030801000001,"Homem"
"2",355030801000002,"Homem"
"3",355030801000003,"Homem"
"4",355030801000004,"Mulher"
"5",355030801000005,"Homem"
"6",355030801000006,"Homem"
"7",355030801000007,"Mulher"
"8",355030801000008,"Mulher"
"9",355030801000009,"Homem"
"10",355030801000010,"Homem"
"11",355030801000011,"Homem"
"12",355030801000012,"Homem"
"13",355030801000013,"Homem"
"14",355030801000014,"Mulher"
"15",355030801000015,"Mulher"
"16",355030801000016,"Homem"
"17",355030801000017,"Mulher"
"18",355030801000018,"Homem"
"19",355030801000019,"Homem"
"20",355030801000020,"Mulher"
"21",355030801000021,"Homem"
"22",355030801000022,"Homem"
"23",355030801000023,"Mulher"
"24",355030801000024,"Homem"
"25",355030801000025,"Mulher"
"26",355030801000026,"Mulher"
"27",355030801000027,"Homem"
"28",355030801000028,"Mulher"
"29",355030801000029,"Homem"
"30",355030801000030,"Mulher"
"31",355030801000031,"Homem"
"32",355030801000032,"Homem"
"33",355030801000033,"Mulher"
"34",355030801000034,"Homem"
"35",355030801000035,"Mulher"
"36",355030801000036,"Mulher"
"37",355030801000037,"Mulher"
"38",355030801000038,"Homem"
"39",355030801000039,"Homem"
"40",355030801000040,"Mulher"
"41",355030801000041,"Homem"
"42",355030801000042,"Homem"
"43",355030801000043,"Homem"
"44",355030801000044,"Homem"
"45",355030801000045,"Homem"
"46",355030801000046,"Homem"
"47",355030801000047,"Homem"
"48",355030801000048,"Mulher"
"49",355030801000049,"Homem"
"50",355030801000050,"Mulher"
"51",355030801000051,"Mulher"
"52",355030801000052,"Homem"
"53",355030801000053,"Homem"
"54",355030801000054,"Homem"
"55",355030801000055,"Homem"
"56",355030801000056,"Homem"
"57",355030801000057,"Mulher"
"58",355030801000058,"Homem"
"59",355030801000059,"Homem"
"60",355030801000060,"Homem"
"61",355030801000061,"Homem"
"62",355030801000062,"Homem"
"63",355030801000063,"Mulher"
"64",355030801000064,"Homem"
"65",355030801000065,"Mulher"
"66",355030801000066,"Homem"
"67",355030801000067,"Homem"
"68",355030801000068,"Homem"
"69",355030801000069,"Homem"
"70",355030801000070,"Homem"
"71",355030801000071,"Mulher"
"72",355030801000072,"Homem"
"73",355030801000073,"Homem"
"74",355030801000074,"Mulher"
"75",355030801000075,"Mulher"
"76",355030801000076,"Homem"
"77",355030801000077,"Homem"
"78",355030801000078,"Homem"
"79",355030801000079,"Mulher"
"80",355030801000080,"Homem"
"81",355030801000081,"Homem"
"82",355030801000082,"Homem"
"83",355030801000083,"Homem"
"84",355030801000084,"Homem"
"85",355030801000085,"Homem"
"86",355030801000086,"Mulher"
"87",355030801000087,"Mulher"
"88",355030801000088,"Homem"
"89",355030801000089,"Homem"
"90",355030801000090,"Mulher"
"91",355030801000091,"Mulher"
"92",355030801000092,"Homem"
"93",355030801000093,"Homem"
"94",355030801000094,"Homem"
"95",355030801000095,"Homem"
"96",355030801000096,"Homem"
"97",355030801000097,"Mulher"
"98",355030801000098,"Homem"
"99",355030801000099,"Mulher"
"100",355030801000100,"Homem"
"101",355030801000101,"Homem"
"102",355030801000102,"Homem"
"103",355030801000103,"Mulher"
"104",355030801000104,"Homem"
"105",355030801000105,"Homem"
"106",355030801000106,"Homem"
"107",355030801000107,"Homem"
"108",355030801000108,"Homem"
"109",355030801000109,"Homem"
"110",355030801000110,"Homem"
"111",355030801000111,"Mulher"
"112",355030801000112,"Homem"
"113",355030801000113,"Homem"
"114",355030801000114,"Homem"
"115",355030801000115,"Mulher"
"116",355030801000116,"Mulher"
"117",355030801000117,"Homem"
"118",355030801000118,"Homem"
"119",355030801000119,"Homem"
"120",355030801000120,"Homem"
"121",355030801000121,"Homem"
"122",355030801000122,"Homem"
"123",355030801000123,"Homem"
"124",355030801000124,"Homem"
"125",355030801000125,"Mulher"
"126",355030801000126,"Homem"
"127",355030801000127,"Homem"
"128",355030801000128,"Mulher"
"129",355030801000129,"Homem"
"130",355030801000130,"Homem"
"131",355030802000001,"Homem"
"132",355030802000002,"Homem"
"133",355030802000003,"Homem"
"134",355030802000004,"Homem"
"135",355030802000005,"Homem"
"136",355030802000006,"Homem"
"137",355030802000007,"Homem"
"138",355030802000008,"Homem"
"139",355030802000009,"Homem"
"140",355030802000010,"Homem"
"141",355030802000011,"Homem"
"142",355030802000012,"Homem"
"143",355030802000013,"Homem"
"144",355030802000014,"Mulher"
"145",355030802000015,"Homem"
"146",355030802000016,"Homem"
"147",355030802000017,"Homem"
"148",355030802000018,"Homem"
"149",355030802000019,"Mulher"
"150",355030802000020,"Mulher"
"151",355030802000021,"Mulher"
"152",355030802000022,"Homem"
"153",355030802000023,"Homem"
"154",355030802000024,"Homem"
"155",355030802000025,"Homem"
"156",355030802000026,"Homem"
"157",355030802000027,"Homem"
"158",355030802000028,"Mulher"
"159",355030802000029,"Mulher"
"160",355030802000030,"Mulher"
"161",355030802000031,"Homem"
"162",355030802000033,"Mulher"
"163",355030802000034,"Homem"
"164",355030802000035,"Mulher"
"165",355030802000036,"Homem"
"166",355030802000037,"Homem"
"167",355030802000038,"Homem"
"168",355030802000039,"Homem"
